,accrual_date,maturity_date,interest_payment_freuency,original_coupon_rate,nominal_value,accrual_compounding_method,business_day_convention_code
0,null,2022-05-13,null,null,null,null,null
1,null,2022-05-11,null,null,null,null,null
2,null,2022-05-16,null,null,null,null,null
3,null,2022-05-04,null,null,null,null,null
4,null,2022-05-04,null,null,null,null,null
5,null,2022-05-06,null,null,null,null,null
6,null,2022-05-12,null,null,null,null,null
7,null,2022-05-26,null,null,null,null,null
8,null,2022-05-27,null,null,null,null,null
9,null,2022-08-09,null,null,null,null,null
10,null,2022-05-13,null,null,null,null,null
11,null,2022-02-25,null,0.0000000,null,null,null
12,2019-10-03,2024-10-03,null,null,null,null,null
13,null,null,1,null,1000.000000,6,5
14,null,2023-08-08,null,0.0000000,100000.000000,null,null
15,null,2022-09-01,5,8.8500000,null,null,null
16,null,null,1,null,1000.000000,6,5
17,null,null,5,0.0000000,1000.000000,5,2
18,2021-09-01,2023-11-01,2,7.5000000,null,null,null
19,2021-08-13,2022-11-17,2,0.6667000,null,null,5
20,2021-08-27,2022-03-02,2,0.9409000,null,null,5
21,null,2025-08-19,5,4.1000000,null,null,null
22,null,2025-08-29,null,0.0000000,1000.000000,null,null
23,2021-09-08,2022-09-15,2,6.9996000,null,null,5
24,null,2022-05-13,null,null,null,null,null
25,null,2022-05-27,null,null,null,null,null
26,2021-11-22,2022-11-25,2,8.0000000,null,null,5
27,2021-09-06,2022-09-13,5,8.0000000,null,null,5
28,null,2022-05-13,null,null,null,null,null
29,null,2022-05-27,null,null,null,null,null
30,null,2022-03-23,null,null,null,null,null
31,2021-01-29,2022-03-21,36,5.5000000,1000.000000,null,5
32,null,2022-05-11,null,null,null,null,null
33,null,2022-05-04,null,null,null,null,null
34,null,2024-11-19,3,null,null,null,null
35,2018-08-02,2023-08-02,5,null,500000.000000,null,2
36,2021-09-01,2022-03-08,2,9.9996000,null,null,5
37,null,2025-07-01,null,null,null,null,null
38,null,2022-08-09,null,null,null,null,null
39,null,2022-08-12,null,null,null,null,null
40,null,null,1,null,1000.000000,6,5
41,null,2022-09-02,null,0.0000000,1000.000000,null,null
42,null,null,1,null,1000.000000,6,5
43,null,2028-08-16,null,null,null,null,null
44,null,2031-07-08,null,null,null,null,null
45,2021-09-03,2023-03-08,5,null,null,null,null
46,null,2024-08-27,null,null,null,null,null
47,null,null,1,null,1000.000000,6,5
48,null,2022-05-27,null,null,null,null,null
49,null,null,5,0.0000000,1000.000000,5,2
50,2018-08-02,2023-06-26,5,null,null,null,5
51,null,2022-05-12,null,null,null,null,null
52,null,2022-05-11,null,null,null,null,null
53,null,2022-05-25,null,null,null,null,null
54,null,2022-08-19,5,4.2676000,5000.000000,null,null
55,null,2018-12-03,5,35.0300000,null,null,null
56,null,2022-05-04,null,null,null,null,null
57,null,2022-05-04,null,null,null,null,null
58,null,2022-08-26,36,3.5000000,null,null,null
59,null,2022-08-08,null,null,null,null,null
60,null,2022-08-11,null,null,null,null,null
61,null,2022-05-27,null,null,null,null,null
62,null,2022-08-27,null,0.0000000,100.000000,null,null
63,2021-11-25,2022-11-25,1,7.8500000,1000.000000,null,2
64,null,2022-08-26,null,0.0000000,null,null,null
65,2021-09-13,2022-09-20,2,6.0000000,50000.000000,null,2
66,2021-08-16,2022-08-23,5,7.0000000,50000.000000,null,2
67,null,2022-05-11,null,null,null,null,null
68,2021-08-30,2022-11-30,5,8.0000000,5000.000000,null,2
69,null,2018-10-26,null,3.0900000,null,null,null
70,null,2022-05-13,null,null,null,null,null
71,2021-12-20,2026-12-15,3,1.5000000,1000.000000,6,5
72,null,2022-05-25,null,null,null,null,null
73,null,2024-09-19,null,null,null,null,null
74,null,2023-06-23,null,7.6000000,null,null,null
75,null,null,1,null,1000.000000,6,5
76,null,2022-05-04,null,null,null,null,null
77,2021-11-30,2022-12-02,5,15.0000000,100000.000000,null,5
78,null,2022-08-08,null,null,null,null,null
79,null,null,1,null,1000.000000,6,5
80,2021-08-31,2022-09-01,36,0.1850000,250000.000000,null,5
81,2021-12-01,2023-12-01,36,2.0000000,null,null,5
82,2021-01-29,2022-03-21,36,5.7500000,1000.000000,null,5
83,2021-09-01,2022-03-08,2,12.0000000,null,null,5
84,null,2022-08-12,null,null,null,null,null
85,null,2023-06-22,null,0.0000000,1000.000000,null,null
86,2021-08-27,2023-02-27,5,8.0000000,1000.000000,null,5
87,null,null,null,null,null,null,null
88,null,2022-05-04,null,null,null,null,null
89,2021-09-07,2022-03-14,2,8.0400000,null,null,5
90,2018-08-01,2024-08-01,3,2.3500000,null,null,2
91,2021-08-24,2022-08-29,null,null,null,null,null
92,null,2022-05-04,null,null,null,null,null
93,null,2022-05-11,null,null,null,null,null
94,null,2022-05-11,null,null,null,null,null
95,null,null,1,null,1000.000000,6,5
96,null,2028-08-30,null,0.0000000,100.000000,null,null
97,null,2026-08-17,null,null,null,null,null
98,null,2022-09-23,null,0.0000000,null,null,null
99,null,2022-09-02,5,6.6100000,null,null,null
100,null,2023-10-13,36,null,null,null,null
101,2018-07-26,2026-12-27,3,1.0000000,100000.000000,null,5
102,null,2024-10-02,null,null,null,null,null
103,null,null,1,null,1000.000000,6,5
104,2021-08-31,2022-08-31,5,10.3500000,null,null,null
105,null,2019-04-29,1,7.0000000,null,null,null
106,null,2023-08-21,null,0.0000000,null,null,null
107,null,2022-05-15,null,0.0000000,100.000000,null,null
108,null,2022-05-04,null,null,null,null,null
109,null,2023-06-14,null,null,null,null,null
110,null,null,1,null,1000.000000,6,5
111,null,2022-05-04,null,null,null,null,null
112,null,2022-05-26,null,null,null,null,null
113,null,2022-05-13,null,null,null,null,null
114,null,2022-05-26,null,null,null,null,null
115,2021-08-16,2022-08-17,2,0.1000000,null,null,5
116,null,2022-05-04,null,null,null,null,null
117,null,2023-11-12,null,0.0000000,null,null,null
118,null,null,1,null,1000.000000,6,5
119,null,null,1,null,1000.000000,6,5
120,2021-09-07,2026-08-31,1,null,null,null,2
121,null,2022-08-22,5,6.0400000,null,null,null
122,null,2026-08-17,null,null,null,null,null
123,2021-08-19,2022-08-23,35,7.9998000,null,null,5
124,2018-08-10,2022-08-10,5,4.2500000,null,null,2
125,null,2022-05-24,null,null,null,null,null
126,null,2022-04-04,null,null,null,null,null
127,null,2022-05-04,null,null,null,null,null
128,null,2022-08-26,null,0.0000000,null,null,null
129,2021-01-29,2022-03-21,36,4.7500000,1000.000000,null,5
130,2019-10-23,2022-10-24,1,4.0000000,null,null,5
131,null,2022-05-04,null,null,null,null,null
132,null,null,1,null,1000.000000,null,5
133,null,null,1,null,1000.000000,6,5
134,null,2022-08-09,null,null,null,null,null
135,null,2022-05-04,null,null,null,null,null
136,null,2022-05-04,null,null,null,null,null
137,null,2022-09-02,1,9.3133000,null,null,null
138,null,2022-08-26,5,4.7072000,null,null,null
139,null,2022-05-25,null,null,null,null,null
140,null,2022-05-25,null,null,null,null,null
141,null,2022-06-20,null,7.0500000,null,null,null
142,2018-07-30,2024-07-30,3,0.4000000,100.000000,null,5
143,null,2022-05-24,null,null,null,null,null
144,null,null,1,null,1000.000000,6,5
145,null,null,1,null,1000.000000,6,5
146,null,2022-05-24,null,null,null,null,null
147,null,2022-05-04,null,null,null,null,null
148,null,2022-05-13,null,null,null,null,null
149,null,2022-07-11,null,0.0000000,1000.000000,null,null
150,null,2022-10-20,1,5.7600000,null,null,null
151,null,2022-05-25,null,null,null,null,null
152,null,2022-08-10,null,null,null,null,null
153,2021-07-16,2023-07-13,5,2.0000000,null,null,5
154,2018-07-27,2023-07-27,1,0.0300000,10000.000000,null,4
155,null,2022-09-23,null,0.0000000,null,null,null
156,2021-08-25,2022-03-04,2,15.0000000,null,null,5
157,null,2022-05-04,null,null,null,null,null
158,null,2022-05-04,null,null,null,null,null
159,null,2022-05-24,null,null,null,null,null
160,2021-09-08,2022-09-08,36,3.6100000,null,null,5
161,null,2022-05-25,null,null,null,null,null
162,2021-08-30,2022-12-23,36,7.4000000,1000.000000,null,5
163,null,2023-02-27,5,6.5000000,null,null,null
164,2021-08-27,2022-08-31,2,12.0000000,null,null,5
165,null,null,1,null,1000.000000,6,5
166,null,2022-05-27,null,null,null,null,null
167,null,2022-05-24,null,null,null,null,null
168,2021-11-24,2022-05-26,2,9.3696000,null,null,5
169,null,2022-05-04,null,null,null,null,null
170,null,2031-06-30,null,6.7500000,null,null,null
171,null,2022-05-04,null,null,null,null,null
172,2021-09-08,2022-09-12,null,7.0000000,null,null,5
173,2021-08-31,2022-08-31,36,0.2200000,null,null,5
174,null,2023-05-25,null,null,null,null,null
175,2021-08-25,2022-03-02,2,8.8800000,null,null,5
176,null,null,1,null,1000.000000,6,5
177,null,2022-05-24,null,null,null,null,null
178,null,2022-08-26,null,0.0000000,null,null,null
179,null,2022-08-10,null,null,null,null,null
180,2021-11-18,2022-11-22,2,17.8500000,null,null,5
181,null,2022-05-04,null,null,null,null,null
182,null,2022-05-12,null,null,null,null,null
183,null,2022-03-23,null,0.0000000,null,null,null
184,null,2022-05-04,null,null,null,null,null
185,null,2025-07-29,null,0.0000000,1000.000000,null,null
186,null,2022-05-25,null,null,null,null,null
187,2018-09-10,2024-09-10,5,6.5000000,1000.000000,null,5
188,null,2022-05-26,null,null,null,null,null
189,null,2022-05-04,null,null,null,null,null
190,2018-07-26,2024-07-26,3,null,500000.000000,null,5
191,2018-08-09,2025-07-22,1,0.7300000,null,null,5
192,null,2022-05-16,null,null,null,null,null
193,null,2022-05-04,null,null,null,null,null
194,null,2022-08-10,null,null,null,null,null
195,null,2022-07-20,2,7.7500000,null,null,null
196,null,2023-09-07,null,0.0000000,51.000000,null,null
197,null,null,1,null,1000.000000,6,5
198,null,2022-05-11,null,null,null,null,null
199,null,2022-09-02,null,0.0000000,null,null,null
200,null,2022-08-15,null,0.0000000,null,null,null
201,null,2022-05-25,null,null,null,null,null
202,2021-08-19,2022-08-23,5,8.0000000,null,null,5
203,2021-11-19,2022-03-28,2,12.0000000,null,null,5
204,null,2022-05-26,null,null,null,null,null
205,null,2022-05-25,null,null,null,null,null
206,null,2022-08-10,null,null,null,null,null
207,2021-09-09,2024-09-09,5,5.2000000,1000.000000,null,5
208,null,2022-05-06,null,null,null,null,null
209,null,null,5,0.0000000,1000.000000,5,2
210,null,2026-08-17,null,null,null,null,null
211,2021-11-24,2022-11-29,2,12.0000000,null,null,5
212,null,2023-07-24,null,0.0000000,null,null,null
213,null,2022-05-16,null,null,null,null,null
214,2021-08-27,2025-02-27,2,0.4000000,1000.000000,4,5
215,null,2022-05-24,null,null,null,null,null
216,null,2022-05-11,null,null,null,null,null
217,2021-11-05,2024-11-09,3,4.7500000,100.000000,null,5
218,null,null,1,null,1000.000000,6,5
219,null,2022-05-04,null,null,null,null,null
220,null,2022-05-11,null,null,null,null,null
221,null,2022-08-10,null,null,null,null,null
222,null,2022-05-24,null,null,null,null,null
223,2021-08-25,2022-03-02,2,23.1600000,null,null,5
224,2021-11-09,2026-11-09,3,4.6300000,100.000000,null,5
225,null,2022-05-25,null,null,null,null,null
226,2021-08-13,2022-08-17,2,12.0000000,null,null,5
227,2018-08-14,2023-08-14,1,0.0100000,null,null,5
228,null,2022-05-24,null,null,null,null,null
229,null,2022-08-09,null,null,null,null,null
230,null,2022-08-04,null,null,null,null,null
231,null,2022-08-09,null,null,null,null,null
232,null,2022-06-28,null,0.0000000,1000.000000,null,null
233,null,2023-11-27,35,null,null,null,null
234,null,2022-05-16,null,null,null,null,null
235,2018-09-11,2024-09-11,5,null,1000.000000,null,5
236,null,2022-03-02,null,4.9600000,null,null,null
237,2021-08-30,2022-12-23,36,6.5000000,1000.000000,null,5
238,null,null,1,null,1000.000000,6,5
239,null,2024-08-05,null,0.0000000,1.000000,null,null
240,null,null,null,null,null,null,null
241,null,2022-05-12,null,null,null,null,null
242,null,2022-05-04,null,null,null,null,null
243,null,null,1,null,1000.000000,6,5
244,null,2019-07-23,null,0.0000000,null,null,null
245,null,null,5,0.0000000,1000.000000,5,2
246,null,null,null,null,null,null,null
247,2021-09-08,2022-09-08,2,null,null,null,2
248,null,2022-08-11,null,null,null,null,null
249,null,2022-11-15,null,0.0000000,100.000000,null,null
250,null,null,1,null,1000.000000,6,3
251,null,2022-08-23,null,0.0000000,null,null,null
252,2021-07-12,2022-07-12,5,7.5000000,null,null,5
253,null,2022-08-09,null,null,null,null,null
254,2021-09-03,2022-12-08,2,0.6667000,null,null,5
255,null,null,1,null,1000.000000,6,5
256,null,2022-09-23,null,0.0000000,null,null,null
257,2021-08-27,2025-08-20,5,null,null,null,5
258,null,2022-08-09,null,null,null,null,null
259,null,2022-05-27,null,null,null,null,null
260,null,2022-05-24,null,null,null,null,null
261,null,2024-03-22,null,null,null,null,null
262,2021-11-24,2022-03-31,2,12.0000000,null,null,5
263,2018-10-01,2029-01-17,3,null,1000.000000,null,5
264,null,2022-05-04,null,null,null,null,null
265,null,2022-05-13,null,null,null,null,null
266,null,2022-09-20,null,0.0000000,null,null,null
267,null,2022-11-11,36,null,null,null,null
268,null,2022-08-31,null,0.0000000,null,null,null
269,2021-09-14,2022-09-14,2,13.7000000,null,null,5
270,null,2022-05-15,null,0.0000000,100.000000,null,null
271,null,null,1,null,1000.000000,6,5
272,null,2022-08-10,null,null,null,null,null
273,null,null,null,null,null,null,null
274,null,2022-08-09,null,null,null,null,null
275,2021-08-17,2022-08-17,5,8.3800000,null,null,5
276,2021-08-13,2022-11-17,2,0.8333000,null,null,5
277,2018-08-09,2038-08-09,1,null,null,null,5
278,null,2022-08-12,null,null,null,null,null
279,null,2022-05-26,null,null,null,null,null
280,null,null,5,0.0000000,1000.000000,5,2
281,null,null,1,null,1000.000000,6,5
282,2021-08-24,2022-03-25,36,16.7500000,1000.000000,null,5
283,2019-10-31,2029-10-31,3,4.5000000,1000.000000,null,5
284,2021-11-26,2022-06-06,2,8.0004000,null,null,5
285,null,2023-01-30,null,null,null,null,null
286,null,null,1,null,1000.000000,6,3
287,2018-07-25,2049-01-15,1,4.4500000,1000.000000,6,5
288,null,2023-08-09,null,0.0000000,1000.000000,null,null
289,null,2022-05-04,null,null,null,null,null
290,null,2022-05-04,null,null,null,null,null
291,2021-08-19,2022-05-20,36,2.6700000,100.000000,null,5
292,null,2022-08-09,null,null,null,null,null
293,null,2022-05-04,null,null,null,null,null
294,null,2022-08-09,null,null,null,null,null
295,2021-11-24,2022-05-26,2,7.0000000,null,null,5
296,2021-08-26,2028-08-26,3,1.7000000,1000000.000000,null,2
297,2021-11-29,2022-08-31,2,12.0000000,null,null,5
298,null,2022-03-22,null,0.0000000,null,null,null
299,null,2022-05-24,null,null,null,null,null
300,2021-11-26,2022-06-01,2,null,null,null,null
301,null,2022-09-23,null,0.0000000,null,null,null
302,null,2022-05-26,null,null,null,null,null
303,null,2023-09-06,null,0.0000000,1000.000000,null,null
304,2021-08-16,2023-08-16,5,4.0000000,null,null,null
305,2021-08-26,2024-09-02,3,5.1000000,1000.000000,null,5
306,null,2024-08-27,null,0.0000000,null,null,null
307,null,null,1,null,1000.000000,6,5
308,null,2022-09-23,null,0.0000000,null,null,null
309,null,2022-05-06,null,null,null,null,null
310,2021-08-16,2022-05-19,2,0.5000000,null,null,5
311,null,2025-08-10,2,8.0000000,null,null,null
312,null,2022-08-09,null,null,null,null,null
313,null,2022-05-04,null,null,null,null,null
314,null,null,1,null,1000.000000,6,5
315,null,null,5,0.0000000,1000.000000,5,2
316,2021-11-22,2022-11-22,5,null,null,null,null
317,null,2022-05-04,null,null,null,null,null
318,2018-08-08,2023-06-14,1,3.8000000,33000000.000000,null,5
319,null,2022-10-13,36,null,null,null,null
320,null,2022-05-24,null,null,null,null,null
321,null,2022-08-26,null,0.0000000,100.000000,null,null
322,null,null,1,null,1000.000000,6,3
323,2021-08-30,2022-12-23,36,9.4000000,1000.000000,null,5
324,null,2022-11-23,null,0.0000000,null,null,null
325,null,2022-05-24,null,null,null,null,null
326,2018-07-26,2023-07-26,3,5.5000000,100000.000000,null,5
327,2018-08-03,2024-08-14,36,null,null,null,5
328,null,2022-09-07,null,0.0000000,null,null,null
329,null,2022-08-09,null,null,null,null,null
330,null,2022-05-24,null,null,null,null,null
331,2021-08-17,2023-08-21,5,null,1000.000000,null,null
332,null,2022-08-09,null,null,null,null,null
333,null,2022-05-04,null,null,null,null,null
334,null,2022-09-02,null,0.0000000,1000.000000,null,null
335,null,2022-05-24,null,null,null,null,null
336,2021-08-19,2023-08-21,2,0.4600000,null,null,5
337,null,2022-05-04,null,null,null,null,null
338,null,2022-05-16,null,null,null,null,null
339,null,2022-09-23,null,0.0000000,null,null,null
340,null,2025-01-27,null,0.0000000,100.000000,null,null
341,2018-07-30,2023-07-15,1,4.1250000,1000.000000,6,5
342,null,2027-06-07,null,0.0000000,100.000000,null,null
343,null,2022-06-13,null,0.0000000,null,null,null
344,null,2022-08-26,36,4.7500000,null,null,null
345,null,2026-03-10,null,8.5200000,null,null,null
346,null,null,1,null,1000.000000,6,5
347,2021-08-24,2023-08-24,5,6.0000000,null,null,null
348,null,null,5,0.0000000,1000.000000,5,2
349,null,2022-05-24,null,null,null,null,null
350,null,2022-05-04,null,null,null,null,null
351,null,2018-11-02,null,11.0600000,null,null,null
352,null,2022-05-24,null,null,null,null,null
353,null,2022-10-24,5,26.9500000,null,null,null
354,2020-03-25,2025-01-10,3,1.0000000,null,null,5
355,null,2022-08-09,null,null,null,null,null
356,2021-08-19,2022-08-19,5,10.2500000,null,null,5
357,null,null,1,null,1000.000000,6,3
358,null,2022-05-04,null,null,null,null,null
359,null,2022-05-04,null,null,null,null,null
360,null,null,null,0.0000000,2.000000,null,null
361,null,2022-05-23,null,null,null,null,null
362,2021-08-13,2022-05-13,36,0.1600000,1000.000000,6,5
363,2020-03-24,2027-01-12,1,1.1500000,null,null,5
364,2019-12-24,2026-12-24,36,0.0000000,1000.000000,6,2
365,2021-08-31,2023-08-31,null,6.3000000,null,null,5
366,null,2022-03-17,null,0.0000000,500000.000000,null,null
367,null,2022-10-17,null,0.0000000,null,null,null
368,2018-08-01,2023-07-31,1,9.0000000,1000.000000,6,3
369,null,2022-08-10,null,null,null,null,null
370,null,null,1,null,1000.000000,6,5
371,null,2022-05-25,null,null,null,null,null
372,null,2023-07-26,null,0.0000000,null,null,null
373,2021-09-01,2022-09-06,5,1.2500000,null,null,5
374,null,2022-05-05,null,null,null,null,null
375,null,null,1,null,1000.000000,6,5
376,null,2022-05-24,null,null,null,null,null
377,null,2022-05-13,null,null,null,null,null
378,null,2022-10-03,5,5.0000000,null,null,null
379,null,2022-08-25,36,5.1500000,null,null,null
380,null,2022-08-01,null,0.0000000,null,null,null
381,2021-09-15,2022-09-19,36,6.1000000,1000.000000,null,5
382,null,2023-07-31,null,0.0000000,null,null,null
383,null,2022-05-04,null,null,null,null,null
384,2015-06-11,null,3,7.5000000,100.000000,null,5
385,null,2022-05-04,null,null,null,null,null
386,null,2022-04-12,null,null,null,null,null
387,null,2022-05-23,null,null,null,null,null
388,2021-08-17,2023-08-17,5,9.8000000,null,null,null
389,2021-08-19,2023-08-21,5,11.6000000,null,null,5
390,null,2022-05-16,null,null,null,null,null
391,null,2022-05-27,null,null,null,null,null
392,null,2022-08-12,null,null,null,null,null
393,null,2022-10-21,36,5.3192000,null,null,null
394,2018-08-02,2024-08-29,1,null,1000.000000,null,null
395,2018-08-15,2023-08-16,5,null,null,null,5
396,null,2022-05-27,null,null,null,null,null
397,null,2028-07-03,null,2.5000000,null,null,null
398,null,2022-05-27,null,null,null,null,null
399,null,2022-05-13,null,null,null,null,null
400,null,2022-08-22,null,1.6500000,null,null,null
401,null,2035-05-15,null,null,null,null,null
402,null,2022-05-04,null,null,null,null,null
403,null,null,null,null,null,null,null
404,null,2024-10-08,null,null,null,null,null
405,null,2028-07-26,5,null,null,null,null
406,2021-11-22,2023-05-22,2,null,1000.000000,null,5
407,null,2022-07-04,1,8.4700000,null,null,null
408,null,null,1,null,1000.000000,6,5
409,2015-02-18,2023-02-21,1,2.5000000,1000.000000,6,3
410,2020-03-26,2040-03-27,1,3.8499000,null,null,5
411,null,2022-05-04,null,null,null,null,null
412,2018-08-15,2038-08-16,1,1.0000000,null,null,5
413,2021-11-24,2022-11-25,36,7.7500000,1000.000000,null,5
414,2021-09-08,2022-05-09,2,14.0400000,null,null,5
415,null,2022-05-25,null,null,null,null,null
416,2021-12-01,2022-06-30,2,null,null,null,5
417,null,null,1,null,1000.000000,6,5
418,null,2023-08-25,null,null,null,null,null
419,2021-07-29,2026-07-06,3,0.4000000,null,null,5
420,2018-07-20,2023-07-20,1,3.7500000,1000.000000,6,5
421,null,2022-05-27,null,null,null,null,null
422,null,2022-08-12,null,null,null,null,null
423,2018-08-30,2023-08-30,3,null,1000.000000,null,null
424,null,2022-08-11,null,null,null,null,null
425,2018-08-08,2024-08-08,3,null,null,null,null
426,null,2024-10-25,null,0.0000000,null,null,null
427,null,2022-05-11,null,null,null,null,null
428,2021-09-08,2022-08-25,2,2.3450000,null,null,5
429,null,2025-12-08,36,null,null,null,null
430,2021-12-01,2022-12-01,2,20.2100000,null,null,5
431,null,2024-08-22,null,null,null,null,null
432,null,2024-02-01,null,0.0000000,1000.000000,null,null
433,null,null,1,null,1000.000000,6,5
434,null,2022-08-17,5,11.8884320,null,null,null
435,2018-08-01,2022-08-01,3,3.2000000,1000.000000,null,5
436,null,2022-05-04,null,null,null,null,null
437,null,2022-09-23,null,0.0000000,null,null,null
438,2018-08-16,2023-08-16,3,null,100.000000,null,5
439,null,2022-05-26,null,null,null,null,null
440,null,null,null,null,null,null,null
441,2021-09-01,2022-03-03,2,6.0000000,null,null,5
442,null,2022-08-11,null,null,null,null,null
443,null,2022-03-16,null,null,null,null,null
444,null,2022-08-11,null,null,null,null,null
445,2018-08-03,2023-08-03,5,null,1000.000000,null,5
446,null,2022-07-05,1,3.7100000,null,null,null
447,2021-08-13,2023-08-16,5,5.0000000,null,null,5
448,null,2022-08-26,36,4.2500000,null,null,null
449,2021-11-30,2022-03-02,2,null,null,null,null
450,null,2022-05-27,null,null,null,null,null
451,2018-08-01,2022-08-01,5,null,null,null,5
452,null,2025-02-13,null,0.0000000,null,null,null
453,null,null,1,null,1000.000000,6,5
454,null,2022-08-12,null,null,null,null,null
455,null,2022-05-12,null,null,null,null,null
456,2021-07-23,2021-09-27,2,10.0000000,null,null,5
457,null,2022-05-13,36,1.0000000,null,null,null
458,null,2023-08-08,null,0.0000000,2.000000,null,null
459,null,2022-08-09,null,null,null,null,null
460,null,2022-09-24,2,null,null,null,null
461,null,2022-05-06,null,null,null,null,null
462,2021-12-08,2027-03-02,5,null,null,null,5
463,null,2024-02-05,null,0.0000000,null,null,null
464,2021-12-02,2022-12-02,2,4.0000000,null,null,5
465,2018-09-04,2024-11-22,3,1.1000000,1000.000000,null,null
466,null,2022-05-27,null,null,null,null,null
467,2018-07-27,2023-07-27,3,3.4000000,1000.000000,null,5
468,null,2022-05-04,null,null,null,null,null
469,null,2022-08-12,null,null,null,null,null
470,null,2022-08-10,null,null,null,null,null
471,null,null,1,null,1000.000000,6,5
472,2021-11-12,2022-08-12,2,null,null,null,null
473,null,2022-05-25,null,null,null,null,null
474,null,2024-02-02,null,0.0000000,1000.000000,null,null
475,null,2022-05-13,null,null,null,null,null
476,2021-11-24,2022-11-25,36,7.7500000,1000.000000,null,5
477,null,2026-09-07,null,0.0000000,null,null,null
478,null,2022-10-13,null,null,null,null,null
479,null,null,1,null,1000.000000,6,5
480,null,2022-05-05,null,null,null,null,null
481,null,2024-04-08,null,null,null,null,null
482,null,2031-02-19,null,null,null,null,null
483,2021-08-27,2022-12-01,2,0.6667000,null,null,5
484,null,2022-08-11,null,null,null,null,null
485,null,2015-04-10,null,null,null,null,null
486,null,2022-08-09,null,null,null,null,null
487,null,2022-08-09,null,null,null,null,null
488,null,2022-05-25,null,null,null,null,null
489,2021-08-13,2024-08-16,5,2.5000000,null,null,5
490,null,2023-08-31,null,null,null,null,null
491,null,2027-02-18,null,null,null,null,null
492,2021-12-06,2023-12-06,5,2.6000000,null,null,5
493,null,2022-05-04,null,null,null,null,null
494,2018-07-30,2023-07-31,3,4.5000000,1000.000000,null,5
495,2021-09-01,2023-03-01,5,5.0300000,null,null,5
496,null,2022-08-11,null,null,null,null,null
497,null,null,1,null,1000.000000,6,5
498,2021-09-13,2031-06-20,1,0.6100000,null,null,5
499,null,2022-11-15,null,0.0000000,100.000000,null,null
500,null,2023-07-31,2,null,null,null,null
501,2019-10-03,2022-10-03,5,10.1000000,null,null,2
502,null,2022-07-05,1,4.9300000,null,null,null
503,null,2022-05-06,null,null,null,null,null
504,2021-11-26,2023-11-27,5,0.0099000,1000.000000,null,5
505,2021-09-02,2026-09-02,5,null,1.000000,null,5
506,2021-09-09,2022-09-09,2,8.1100000,null,null,5
507,null,2022-05-27,null,null,null,null,null
508,2018-07-26,2038-07-26,5,2.6390000,10000.000000,null,5
509,null,2022-08-09,null,null,null,null,null
510,null,2022-05-05,null,null,null,null,null
511,null,2022-05-04,null,null,null,null,null
512,null,2024-02-26,null,7.1700000,null,null,null
513,null,2024-10-29,3,null,null,null,null
514,null,2026-08-17,null,null,null,null,null
515,null,2024-09-11,null,0.0000000,null,null,null
516,null,2022-05-04,null,null,null,null,null
517,2021-07-15,2024-07-01,1,1.3000000,500.000000,6,5
518,null,2024-03-04,null,0.0000000,1000.000000,null,null
519,null,2022-05-26,null,null,null,null,null
520,null,2022-08-09,null,null,null,null,null
521,2019-10-16,2023-10-16,5,null,null,null,5
522,null,2022-08-09,null,null,null,null,null
523,2021-08-25,2023-03-06,5,10.0000000,null,null,5
524,null,2033-08-08,null,0.0000000,null,null,null
525,null,2022-05-26,null,null,null,null,null
526,2015-02-13,2030-02-13,5,null,null,null,5
527,2018-08-02,2038-08-02,3,1.4700000,100000.000000,null,5
528,2018-08-17,2022-08-17,5,3.3117500,1000.000000,null,2
529,null,2022-08-12,null,null,null,null,null
530,null,2022-05-04,null,null,null,null,null
531,2021-09-01,2024-09-02,3,3.2000000,1000.000000,null,5
532,null,2022-08-09,null,null,null,null,null
533,2021-11-25,2022-03-15,36,0.1000000,null,null,5
534,null,2022-08-26,null,0.0000000,100.000000,null,null
535,null,2022-05-04,null,null,null,null,null
536,2021-07-29,2025-08-29,2,10.0000000,1000.000000,null,5
537,null,2022-05-04,null,null,null,null,null
538,null,2022-04-29,null,0.0000000,1000.000000,null,null
539,null,2023-08-03,3,null,null,null,null
540,2021-11-24,2022-06-27,2,9.0000000,null,null,5
541,null,2022-05-25,null,null,null,null,null
542,null,2024-10-14,null,11.7000000,null,null,null
543,null,2022-08-29,36,5.7982400,null,null,null
544,2021-08-23,2024-08-23,3,3.3000000,100.000000,null,5
545,null,2022-05-26,null,null,null,null,null
546,2018-07-25,2023-12-20,5,2.7900000,10000.000000,null,5
547,2021-09-02,2022-06-24,36,6.5000000,1000.000000,null,5
548,2018-07-24,2025-07-24,3,8.1000000,100.000000,null,5
549,2021-11-25,2022-11-30,5,null,null,null,null
550,null,2028-07-23,1,7.0625000,null,null,null
551,2019-10-23,2027-01-20,1,1.8400000,null,null,5
552,2018-08-06,2038-08-06,1,1.4000000,null,null,5
553,2018-07-31,2023-07-31,5,0.0000000,1000.000000,null,2
554,null,2022-06-08,null,0.0000000,null,null,null
555,null,2022-05-05,null,null,null,null,null
556,null,2022-05-19,2,13.2000000,null,null,null
557,2021-08-31,2022-05-31,36,3.3600000,10000.000000,null,5
558,null,2022-04-19,null,0.0000000,1.000000,null,null
559,null,2022-05-04,null,null,null,null,null
560,null,2022-05-25,null,null,null,null,null
561,null,2022-05-04,null,null,null,null,null
562,null,2024-03-04,null,0.0000000,1000.000000,null,null
563,null,2022-05-27,null,null,null,null,null
